compression_capacity,conversion_trains_number,electrolyser_capacity,fuelcell_capacity,hydrogen_storage_capacity,renewable_energy_capacity,vector_storage_capacity
0.2168025747,0.1797890086,0.5539567079,0.3321087398,0.1400833614,0.4134612344,0.7431911388
0.0884487620,0.9346999945,0.8649074091,0.4349636007,0.1175330440,0.2312651929,0.2975110086
0.5980550908,0.0901632290,0.2526050722,0.5898222961,0.7510197433,0.6576028960,0.5904488582
0.8007812398,0.5056225751,0.6480194321,0.2435613833,0.5872268332,0.8714060113,0.1794178914
0.2627153005,0.4733416671,0.2193099437,0.7812094484,0.2812508559,0.2987201912,0.9643604020
0.3598927716,0.7958230600,0.6921539782,0.5285280803,0.7011606302,0.4878221694,0.3701132108
0.8266505171,0.2027530177,0.1755549600,0.4957697159,0.4264403824,0.9357520426,0.5222432138
0.5253068758,0.6465308657,0.7880713558,0.8371326020,0.2314086817,0.5967052616,0.2479290674
0.0381499752,0.3666932397,0.3300648285,0.1871497715,0.8961472660,0.0456117904,0.8924294692
0.1596831223,0.6115915207,0.0186411049,0.0848063519,0.8462494509,0.3486574115,0.0863977540
0.6537827663,0.3937656432,0.5977403168,0.9221572960,0.0272176797,0.7897495907,0.8010282340
0.9481746005,0.9478955008,0.4855290819,0.2684031585,0.3159346571,0.7397742448,0.4681674847
0.4883596059,0.0428137695,0.8810354453,0.7385453945,0.5574554680,0.1798898876,0.6751683634
0.4675336424,0.9747093832,0.1353917951,0.1881471993,0.1625560941,0.7739156336,0.8385955682
0.9689784283,0.0072344281,0.7476979988,0.7873108638,0.9679140756,0.3337982921,0.0532257855
0.6793692559,0.5927511007,0.3521577688,0.3795417277,0.6323182946,0.1337748300,0.7164578550
0.1341183363,0.4370437292,0.7808709899,0.5959317582,0.4982288880,0.6926810117,0.4234589515
0.0134482421,0.6823235564,0.5912723802,0.6360193221,0.2588162553,0.8896351224,0.6174263051
0.5500474339,0.3396044960,0.0414664596,0.3572611706,0.6097064633,0.4407307692,0.2695560455
0.8483002316,0.7522700531,0.9368235990,0.9524215581,0.7891093530,0.0297758812,0.9991510324
0.3382037105,0.2218068466,0.4456100650,0.0408740295,0.0794584230,0.5818481240,0.1436516521
0.2888816092,0.5405226583,0.9805633314,0.2920905352,0.9342068518,0.6422574176,0.5492203981
0.7745755697,0.4453602526,0.4014602527,0.7007014956,0.1933040069,0.2149410620,0.3421585103
0.5768933892,0.8922075015,0.5137973577,0.1084860396,0.4039757280,0.2511405693,0.9272203175
0.1096492736,0.1102775158,0.1182872616,0.8843214437,0.7236102363,0.8248007502,0.2121626101
0.2390931733,0.8650816102,0.3083894113,0.8446990084,0.5193577204,0.5069970004,0.7664815038
0.6974414205,0.1451633731,0.8249922069,0.1312475130,0.3540163990,0.0728467694,0.1219200930
0.9040275794,0.7004085528,0.2128381925,0.5361021757,0.0496594012,0.3981138933,0.6484352974
0.4094377430,0.2932344582,0.6708486015,0.4398594107,0.8237616830,0.9629870066,0.4958780669
0.4217688479,0.5078978250,0.2348637320,0.6902169324,0.6605258351,0.5723025994,0.2955867993
0.8917195564,0.4779209960,0.6323268488,0.2854814995,0.4660078092,0.0075525995,0.5650266353
0.6938843261,0.9228145536,0.2682807446,0.8816185687,0.1302930536,0.4634118481,0.1657167282
0.2426276030,0.0796053009,0.8493370824,0.0940951966,0.9963161657,0.8976852521,0.9429082358
0.1219499055,0.8327615205,0.5384015152,0.1339462493,0.7608140744,0.7153640408,0.0118717598
0.5645548934,0.1775405193,0.0784381153,0.8590862416,0.1115841344,0.1418229798,0.8438111190
0.7710490078,0.7308330210,0.9427893804,0.4503404237,0.2911136281,0.3242548667,0.3859556820
0.2924465714,0.2628678810,0.4242333556,0.5427072514,0.5813310761,0.7516902825,0.7256467128
0.3349212892,0.9447733900,0.8967168415,0.7904981757,0.4362382917,0.9412805419,0.0687878225
0.8516210532,0.0371129178,0.4699568497,0.2030225387,0.6952076694,0.3890891792,0.7912913756
0.5621039253,0.6245832220,0.6132998290,0.6069007581,0.9059988344,0.0814136267,0.4389027888
0.0013538869,0.4051551772,0.0029466162,0.3866352597,0.2255246090,0.5301989196,0.6692796107
0.1308053825,0.6522049494,0.3143857233,0.3462880319,0.0173625052,0.8333697105,0.3485947046
0.6826595450,0.3697885936,0.8036459982,0.6289221803,0.8521375470,0.2743404154,0.5085987346
0.9810653925,0.7844068883,0.1599978581,0.0376831675,0.5476534758,0.1932365512,0.2225719923
0.4554697601,0.1897346675,0.7078507580,0.9375422588,0.3218911644,0.6332307197,0.8904492911
0.4928703895,0.7651544511,0.4612916438,0.4891644316,0.9582418129,0.2892073877,0.5998170143
0.9436407350,0.2333637355,0.9212511918,0.5180472760,0.1683829315,0.8492110437,0.2598208115
0.6424510973,0.6790950960,0.0570257967,0.1727628065,0.4884881843,0.6803165767,0.9698849507
0.1710374560,0.3340719528,0.5755780740,0.8344335975,0.6380919795,0.2393437559,0.1377624972
0.0426912317,0.5812286092,0.7651918288,0.9365484072,0.6194436206,0.4361731736,0.8170785373
0.5208034832,0.4241937175,0.3677324746,0.0875089588,0.2530466532,0.9873895794,0.0395818576
0.8152883155,0.9802761935,0.7321409602,0.7451542215,0.0891266624,0.5450639399,0.6911004670
0.3712165728,0.0104971668,0.1510885190,0.2788879303,0.7832861217,0.0972569417,0.4214775367
0.2515972396,0.6883557569,0.6864022147,0.0306087360,0.2030371092,0.1581545165,0.7645585611
0.8118609004,0.2827838333,0.1971457917,0.9939369690,0.9284408242,0.7307174020,0.0964981532
0.6023522066,0.8671885515,0.8406680617,0.3392061498,0.7332901563,0.7982876608,0.6347336126
0.0841895100,0.1498490516,0.2928189095,0.6853242218,0.3981412891,0.3718270827,0.4744243957
0.2057150463,0.9026237326,0.1027321322,0.5827290323,0.3443405619,0.0541480258,0.5433888808
0.7308204938,0.1222959217,0.5294883614,0.4239943326,0.5251886128,0.6198767973,0.3128289497
0.9333926393,0.5358027089,0.3857830008,0.7663339004,0.8140321868,0.9140149262,0.9174262537
0.3800717220,0.4432190368,0.9961323170,0.2403742801,0.0554214055,0.4787670420,0.1946175136
0.4054485885,0.9145173570,0.6047237972,0.2528818380,0.5648144213,0.3557752082,0.9902778426
0.9080473185,0.0713100098,0.0275730165,0.7230760679,0.3076761207,0.7830895353,0.1505870353
0.7404798651,0.5162017122,0.8838066058,0.0693217814,0.0970072532,0.7468920639,0.6104299743
0.1960243080,0.4862267924,0.4980629617,0.9066207912,0.7754062759,0.1732298546,0.2784904214
0.0743776830,0.7391283102,0.1845019348,0.8213595450,0.9816152453,0.4949398544,0.7075699428
0.6121346336,0.2711650794,0.6991529092,0.1714439895,0.1450091712,0.9290921139,0.4303786587
0.7863925910,0.8244557260,0.3426141292,0.5128069650,0.4493709300,0.6038229540,0.8316149134
0.2770952471,0.1692366302,0.7908576094,0.4799813852,0.6772084292,0.0389518691,0.0621748837
0.3498396454,0.6006614873,0.2631849311,0.2277949480,0.3364680475,0.2241475079,0.6551112514
0.8366951793,0.3812315334,0.8696325868,0.7654969292,0.5330612762,0.6642628247,0.4872336695
0.5149609679,0.9687036928,0.2341021225,0.4192358674,0.8686542036,0.8642883189,0.7751867892
0.0485045854,0.0610413151,0.6491426416,0.5740407063,0.0008000145,0.3053801125,0.1151830126
0.1769718947,0.8083305303,0.9632072086,0.6588215055,0.2421614863,0.1123322519,0.9339109939
0.6364855301,0.2136564041,0.4192593591,0.3166480614,0.8893162385,0.5612386297,0.2035338888
0.9651705986,0.6282765539,0.5550950142,0.9752698569,0.7099085879,0.9721914856,0.5579100074
0.4713723101,0.3458582889,0.0775546590,0.0001844959,0.4215221722,0.4201212674,0.3354067076
0.4457808360,0.6717749368,0.8162860777,0.5516235223,0.7998161875,0.5141453147,0.1861086665
0.9907227708,0.3267498882,0.3016388658,0.4553287411,0.0725813955,0.0662172316,0.9557318203
0.6573160458,0.7724832082,0.6580517460,0.8601835528,0.2676102426,0.4052622300,0.3062007129
0.1561802486,0.2406905834,0.2098121624,0.1467840141,0.6048343126,0.9563574912,0.5836971989
0.0268498417,0.9875982599,0.3947252510,0.1242590705,0.6527756741,0.6494056201,0.4024242042
0.5366373705,0.0178173240,0.9718721798,0.9000272220,0.4737586556,0.2083116509,0.7345468812
0.8614014201,0.5739017595,0.1152761793,0.3078116765,0.1850369172,0.2582887793,0.0264090896
0.3251112243,0.4168649623,0.5010160757,0.7164898301,0.9415725106,0.8181713466,0.8664050987
0.2982614413,0.8442429006,0.0364859356,0.9681879748,0.0408578143,0.8824869199,0.4592794739
0.7652042015,0.1269053100,0.5804300224,0.0565865375,0.8286414929,0.4473601803,0.6820879309
0.5859632809,0.7113080686,0.4447202673,0.6517470740,0.5086585451,0.0226276712,0.0794170042
0.1005706796,0.3057380505,0.9222567258,0.3730427716,0.3608858269,0.5884775277,0.8099771887
0.2211272921,0.5587464524,0.7368706148,0.3950715922,0.3814873053,0.7667673193,0.2390557788
0.7154157655,0.4661646858,0.1304268111,0.6113924477,0.7499594605,0.3404278299,0.8993647126
0.8857517503,0.8796695136,0.7663196865,0.2036232222,0.9137571314,0.1266264934,0.3631167850
0.4277048698,0.0993436119,0.3512829151,0.8028560020,0.2177666398,0.6993105272,0.5311774462
0.4243699871,0.6428668248,0.7294073962,0.1552790878,0.9954081951,0.4089094074,0.0900094397
0.8871642640,0.3625256922,0.1542107314,0.8687591897,0.1270658663,0.9834415149,0.7969492478
0.7147359159,0.7916707415,0.7586132810,0.4639216335,0.4631619686,0.5490425555,0.4640675252
0.2237299876,0.1990737477,0.3748217411,0.5601319773,0.6592670279,0.1245511919,0.6787590608
0.0952540655,0.9520363789,0.0597968334,0.7078874977,0.5822694749,0.3009984586,0.3737077303
0.5932027409,0.0464510741,0.5724937813,0.2993051512,0.2943714820,0.8686928684,0.5181470616
0.7586973980,0.6152441138,0.4677860709,0.8915378330,0.1144604031,0.6608653553,0.2438462740
0.3028458757,0.3978912327,0.9140772978,0.1156700002,0.7621035483,0.2275831169,0.8960373327
0.3238515370,0.8410009844,0.3870436409,0.3639568668,0.2203137195,0.0424179938,0.3017175449
0.8646449884,0.1839489564,0.9954434307,0.6427474394,0.8992011501,0.6004560040,0.5867210664
0.5341264661,0.7244236283,0.1078377562,0.0476003438,0.6880589100,0.9335271791,0.1756996289
0.0273773419,0.2546274653,0.5248324210,0.9591192659,0.4314089874,0.4905887200,0.9685764825
0.1490325797,0.5014893562,0.8393843062,0.8118289262,0.3270714469,0.1854793141,0.0219235970
0.6624803105,0.4696814446,0.2934842333,0.2126976904,0.5544207916,0.7347265054,0.8694275953
0.9862911627,0.9310550606,0.6813950688,0.6204802375,0.8592556994,0.7943700841,0.3920165375
0.4521963252,0.0860147215,0.2019007169,0.4040615931,0.0221614409,0.3445938639,0.7473938679
0.4744611448,0.8963368870,0.9396555079,0.9152174611,0.6348342411,0.6880700551,0.7702152636
0.9640041329,0.1139339125,0.4269624269,0.0778340884,0.4875496626,0.1378440997,0.1177190328
0.6374076130,0.5441637663,0.5313001266,0.7315749340,0.1670935806,0.3282031436,0.6442132639
0.1741269659,0.4495049268,0.0850126324,0.2614613120,0.9553654287,0.7789538363,0.4995908383
0.0535789663,0.6967178574,0.2713915389,0.4714957885,0.7865134319,0.5840634508,0.5529369917
0.5079637412,0.2890707068,0.8465844262,0.5042217318,0.0900345175,0.0270036086,0.3379402841
0.8434480308,0.8609026298,0.2420636360,0.1628454346,0.2543055760,0.4439302878,0.9230154501
0.3450091630,0.1414879067,0.6258512940,0.8128568716,0.6222893381,0.8858939167,0.2158925477
0.2781088864,0.5886140559,0.1606822517,0.5650583049,0.3913740888,0.8215478277,0.6215107674
0.7833950706,0.4334102506,0.7065784577,0.4101709956,0.7281097509,0.2548283674,0.2659503277
0.6148877712,0.9710606160,0.3190376330,0.7564148018,0.9236420114,0.2126570726,0.9955548439
0.0736079495,0.0031126719,0.7985282522,0.2187991655,0.1959188413,0.6449610237,0.1477456586
0.2029297436,0.7559378901,0.6126528857,0.0092760632,0.0622192128,0.9685134888,0.8426933819
0.7355578337,0.2259781975,0.0042568734,0.9842637097,0.8192429608,0.3930070279,0.0496334191
0.9127249746,0.6864796784,0.8919807887,0.3256247779,0.5300180325,0.0774043184,0.7128483150
0.3987870514,0.3432875620,0.4749900056,0.6678998107,0.3514891984,0.5028743269,0.4275396066
0.3772270335,0.7989913924,0.1106774295,0.8429954881,0.7787556266,0.6297636414,0.6294489503
0.9343149588,0.2063924894,0.5061865197,0.1813022634,0.0977930082,0.1966044549,0.4772581747
0.7296542684,0.6355395131,0.3939714851,0.5265695369,0.3090570839,0.2699043965,0.7534854291
0.2088041175,0.3551964751,0.9730755696,0.4977128813,0.5675380388,0.8377217986,0.1090458445
0.0793592678,0.6079253703,0.6626273505,0.2703675544,0.6738287099,0.5179485064,0.9121402204
0.6091052946,0.3905705838,0.2046180665,0.7365961382,0.4485545680,0.0935801389,0.1974489680
0.8048639139,0.9593655979,0.8171382919,0.0789337987,0.1435978394,0.3778076768,0.5323180733
0.2566718571,0.0537783839,0.3005343713,0.9280147096,0.9788610209,0.9524628399,0.3253780119
0.3704470797,0.7473687874,0.7733517028,0.6763089485,0.0074758409,0.7629030962,0.9807752809
0.8180416897,0.2775745299,0.3446394876,0.3301665206,0.8739871373,0.3130038837,0.1253977269
0.5178062031,0.8180472273,0.7400576472,0.9848839585,0.5377687151,0.1540200077,0.6047961973
0.0437051076,0.1609971086,0.1277504377,0.0215762071,0.3437388437,0.7031441471,0.2572923927
0.1643761592,0.9081079941,0.4377256343,0.2494329754,0.4148770124,0.9020678597,0.7019883534
0.6471289899,0.0630695643,0.9289380433,0.7753529958,0.7046060823,0.4590063449,0.4091112763
0.9387189439,0.5244412059,0.0332146930,0.4330001660,0.8846394662,0.0109510226,0.8220592104
0.4997760616,0.4926351998,0.5830217386,0.5917705912,0.2349211182,0.5688660368,0.0370558826
0.4580722153,0.5524605010,0.3374391329,0.1026212350,0.6056505516,0.4753896073,0.4493041653
0.9803853063,0.4578035707,0.7954446394,0.8901708703,0.2709900774,0.9174762918,0.6564273508
0.6840718184,0.8880315842,0.1832944546,0.2940471824,0.0753355045,0.6155304220,0.0732786516
0.1274702633,0.1056305151,0.6998944934,0.6987602264,0.8012276422,0.0585935758,0.7882751059
0.0059380811,0.8526039878,0.8890190227,0.5341358837,0.9407866402,0.3596701315,0.2329719979
0.5555968853,0.1331911702,0.4935137993,0.4418105632,0.1816876894,0.8105438165,0.8775947066
0.8588602729,0.7050212529,0.6058471045,0.8505696431,0.4710349152,0.7195293615,0.3530878583
0.3296044385,0.2973760115,0.0267467527,0.1253920179,0.6513948264,0.1694264580,0.5055838358
0.2929738313,0.9949828126,0.5617267219,0.3775860416,0.3661882095,0.1084983675,0.1609210195
0.7685378669,0.0270329630,0.0705180904,0.5978720663,0.5153038204,0.5338453799,0.9462295044
0.5677982215,0.5646851687,0.9658714002,0.1940110428,0.8358817454,0.9996152194,0.2850020211
0.1206899816,0.4094794542,0.4160682363,0.7814623984,0.0455347095,0.4239857029,0.5780621776
0.2490428519,0.6625593891,0.2274472471,0.9465518696,0.2124335906,0.2437587865,0.3811575295
0.6894524815,0.3193653636,0.6561555956,0.0467285784,0.9070814280,0.6759396857,0.7289664913
0.8968835808,0.7798686847,0.2606191654,0.6379846679,0.7426885413,0.8526418898,0.0012884717
0.4146209424,0.2499070866,0.8729226422,0.3553109644,0.3767799819,0.2857994372,0.8568491051
0.4103619736,0.9645552300,0.2848420022,0.6049350509,0.1076443214,0.1764848055,0.9296908602
0.9011809798,0.0573963663,0.8326919368,0.3885855889,0.7728713285,0.7432022374,0.2072485751
0.7005323954,0.5970013095,0.1890475964,0.7963682255,0.5773361996,0.7853755532,0.5616418524
0.2379250443,0.3770982996,0.6783032371,0.1971678669,0.3031043448,0.3530695736,0.3312037475
0.1164004505,0.6319481796,0.9887666013,0.0318187317,0.4387528012,0.0334233586,0.6509044692
0.5720650582,0.3500334807,0.3784163836,0.9433915550,0.6797854723,0.6089318478,0.4909617072
0.7796482835,0.8124904335,0.5217555333,0.3482443104,0.9690056248,0.9245325364,0.7789052827
0.2818865264,0.2173433183,0.0950002056,0.6269810414,0.1494856840,0.4990645563,0.1109667011
0.3409589957,0.5203273166,0.5674493592,0.8757494800,0.8641965743,0.3099930938,0.7039756691
0.8475288274,0.4898793409,0.0488962997,0.0999489073,0.0134209190,0.8602170246,0.4344745651
0.5510632135,0.9181546764,0.9132437650,0.6921816785,0.3338798694,0.6698599979,0.8356974758
0.0104490584,0.0754508432,0.4532849994,0.2835321315,0.5436606109,0.2191072805,0.0585672511
0.1387943178,0.8207764411,0.1433251752,0.4483850915,0.7144690799,0.4179039160,0.9866664028
0.6727098702,0.1650843564,0.7243785178,0.5446474440,0.4089815104,0.9749657828,0.1546657756
0.9758821968,0.7349607479,0.3603362432,0.1398097388,0.2447152277,0.5580370864,0.6145297028
0.4626137549,0.2675010832,0.7577946959,0.8532378916,0.8786903052,0.1160754822,0.2748999549
0.4876814233,0.7149911793,0.0111745484,0.3411699384,0.2806697758,0.9595494978,0.2349577192
0.9507751521,0.3098941576,0.6215285286,0.6833758112,0.5998158613,0.4015132776,0.9029573249
0.6504495582,0.8484142963,0.4778193384,0.0247367900,0.8109609699,0.0684403051,0.3667265559
0.1610934846,0.1305731321,0.9045785628,0.9997935370,0.0695697321,0.5113805542,0.5270965602
0.0316410316,0.8755477127,0.7154691676,0.7721964400,0.1719584446,0.8125837101,0.4551947657
0.5298929736,0.0956948595,0.1676153811,0.2345268801,0.9465488661,0.2633347288,0.6856938945
0.8213317553,0.5551129291,0.8111414509,0.5807708353,0.6417187341,0.2036929475,0.0830134237
0.3671339024,0.4620276559,0.3218820626,0.4259373900,0.4768655822,0.6534673776,0.8058829512
0.2602060633,0.7688077567,0.8572300905,0.1786338063,0.5055628950,0.5930275684,0.3987078564
0.8013065960,0.2365115583,0.2761729853,0.8285779757,0.3719616430,0.0184972472,0.7387648616
0.5967970779,0.6676112004,0.6405853005,0.4872015892,0.0358626721,0.4528944129,0.0306137260
0.0916901790,0.3230591482,0.2431229511,0.5199947404,0.8417088380,0.8773875628,0.8626753921
0.2123688264,0.5780464187,0.4317593239,0.7471114574,0.9167499188,0.6970340461,0.1823751526
0.7261274531,0.4205061151,0.9503162354,0.2769458340,0.2066105809,0.1293378500,0.9599326346
0.9219761798,0.9912546417,0.0860870406,0.9306868287,0.3865168840,0.3371671569,0.3104225155
0.3895273823,0.0219467543,0.5460495539,0.0933553977,0.7369187139,0.7704476090,0.5799846584
0.3954932028,0.6209306587,0.9297531601,0.4172948403,0.1328278240,0.8934384817,0.3443824463
0.9160419945,0.4010295579,0.4522155616,0.5759971114,0.9856786821,0.4680934940,0.5123208044
0.7476257561,0.9406325417,0.5880473871,0.2336441325,0.6650979035,0.0023216372,0.2262959769
0.1908391863,0.0334755834,0.0441044401,0.7596323667,0.4534860849,0.5779531784,0.8862389326
0.0702835387,0.7885591770,0.3591444818,0.9694150733,0.2885370003,0.7542738449,0.0645889156
0.6181742288,0.1934139673,0.7741822740,0.0060544191,0.5919493819,0.3220909210,0.7950267969
0.7954934957,0.6558689605,0.1386556095,0.6607719464,0.7563375076,0.1453907341,0.4426134219
0.2660488319,0.3739561709,0.7450983925,0.3146824809,0.1241934625,0.7122311620,0.6650559008
0.3573517287,0.9264595173,0.2174600465,0.0634735581,0.8933778722,0.5265777577,0.0082848696
0.8311438356,0.0837537786,0.6657007700,0.9124843925,0.2299819421,0.0844931016,0.8479149006
0.5043951897,0.5120310737,0.3091658195,0.2548219040,0.4256393686,0.3864369504,0.3900308460
0.0571095645,0.4815811887,0.8238118915,0.7211206239,0.6977960207,0.9433758250,0.7220312199
0.1864390289,0.7266578143,0.5092753898,0.5108574703,0.5601944337,0.6383930193,0.2919827430
0.6250729151,0.2591962405,0.1235344727,0.4819460195,0.3173307301,0.1875173058,0.5691132508
0.9604661437,0.8290745914,0.9797642622,0.8272133823,0.0279882653,0.2785337819,0.1698090583
0.4780223053,0.1733806012,0.4026183542,0.1655750126,0.8495833939,0.8286346570,0.9393099090
0.4410820622,0.8713675616,0.6414107988,0.6536900047,0.4935062164,0.2351599261,0.5392986964
0.9973822543,0.1535244882,0.2263691546,0.3710844629,0.6250322657,0.6850573523,0.3164289454
0.6667736247,0.6920464821,0.8622658299,0.9623407014,0.9612535415,0.8440430220,0.9210281642
0.1447619004,0.2869475549,0.2558192993,0.0624491889,0.1572384527,0.2949170964,0.1905292291
0.0162936412,0.5321615711,0.0694555379,0.2094799168,0.0841504876,0.0998996338,0.7604817282
0.5452481201,0.4390743924,0.5469968989,0.7969841678,0.7963650133,0.5429629348,0.1001115004
0.8689077999,0.8984943172,0.4112833142,0.3931230549,0.6163363904,0.9910164634,0.6383221718
0.3195503550,0.1186395548,0.9552301578,0.6133561246,0.2641035281,0.4331032354,0.4703227598
0.3073528279,0.6749390038,0.4906656854,0.8660298800,0.7222140403,0.3682688652,0.8133695731
0.7541520754,0.3303888571,0.8764104545,0.1409223089,0.4012368778,0.8014262617,0.0438077133
0.5818748996,0.7614866439,0.0198106542,0.5496815378,0.1899699485,0.7281281175,0.6952977050
0.1066198600,0.2291923547,0.5969603099,0.4572861036,0.9334363891,0.1603089254,0.4177399697
0.2282674424,0.9839249309,0.7828510487,0.3097592527,0.8251883071,0.4839884676,0.5960908839
0.7102210959,0.0146189528,0.3346065627,0.7145271143,0.0524289180,0.9083586251,0.2640295010
0.8758058604,0.5853656242,0.6910232725,0.1184033370,0.3573808856,0.6241292898,0.9740993548
0.4357052194,0.4278272260,0.1763733039,0.9058980951,0.5201588497,0.0494759167,0.1340420963
0.4348983094,0.5827208562,0.4499278702,0.3130710684,0.7648177985,0.8037555767,0.8006056016
0.8785981191,0.4275151417,0.9333240166,0.6621429119,0.1157136168,0.3698496297,0.0936658010
0.7072459925,0.9807923548,0.0454169810,0.0044958163,0.2950708419,0.1636147546,0.6765675433
0.2292577187,0.0128425052,0.5874076597,0.9707334675,0.5854140781,0.7287323382,0.4618760152
0.1077336129,0.7579268068,0.7767763147,0.7611875106,0.6566100055,0.9077545218,0.5169359213
0.5787791358,0.2279652087,0.3558804812,0.2323370613,0.4619735973,0.4806825211,0.3724965975
0.7570649497,0.6728435373,0.7434823262,0.5776196085,0.1263016341,0.0478952695,0.8967601843
0.3064223966,0.3296495117,0.1389913643,0.4159201775,0.9922063937,0.6217998574,0.2445691330
0.3166667894,0.9021614240,0.6660348559,0.1671364764,0.0214606505,0.6863900572,0.5889279023
0.8698675437,0.1197603550,0.2158418344,0.8258997565,0.8561096657,0.2377296416,0.3039243734
0.5441054720,0.5343633611,0.8205457451,0.4835622003,0.5517070182,0.2952732276,0.9649048103
0.0193605134,0.4397064308,0.3117581913,0.5094893659,0.3258187100,0.8475893410,0.1720279492
0.1477053072,0.6947976034,0.1228930764,0.7195009878,0.4321746500,0.5394167369,0.8686894253
0.6657516556,0.2871523621,0.5105857849,0.2562013352,0.6912621418,0.0995433815,0.0211854195
0.9982213937,0.8746074373,0.4061870649,0.9109340170,0.9018576955,0.4305336410,0.7486203266
0.4383220365,0.1551946197,0.9774749018,0.0647834903,0.2215016140,0.9896836374,0.3932429887
0.4785264162,0.8312005792,0.2230421929,0.6159440996,0.6234810399,0.0831603054,0.1203988241
0.9579776227,0.1741504604,0.6439419230,0.3907755269,0.2569583142,0.5240081334,0.7728950623
0.6283546174,0.7302481653,0.2562141782,0.7995193331,0.0932415863,0.9430195428,0.4964227583
0.1851411853,0.2604539078,0.8607089026,0.2071849601,0.7872752575,0.3828907823,0.6410451913
0.0556892129,0.5151941637,0.5505048092,0.0599174825,0.9541164991,0.1910635950,0.3377057062
0.5077985208,0.4833881576,0.0671049152,0.9646243351,0.1643759999,0.6387491804,0.5527024213
0.8285337603,0.9291348066,0.9546495397,0.3684854032,0.4844074659,0.8312044023,0.2175919618
0.3579784222,0.0840963768,0.4126550090,0.6560412301,0.6341296136,0.2798664570,0.9247148717
0.2686286448,0.6525985636,0.8777838182,0.9033600688,0.3482835600,0.4657640914,0.2691337261
0.7948365360,0.3722555256,0.4900872130,0.1206935253,0.5292576374,0.8918578047,0.6246941583
